Date,Open,High,Low,Close
2019-04-30,3092.0,3120.0,3040.0,3095.95
2019-05-02,3095.0,3148.95,3060.0,3131.75
2019-05-03,3130.1,3165.0,3102.3,3111.85
2019-05-06,3066.0,3094.0,3026.0,3034.3
2019-05-07,3052.9,3069.8,3007.6,3017.05
2019-05-08,3012.0,3017.0,2900.0,2921.3
2019-05-09,2900.0,2991.8,2885.0,2971.35
2019-05-10,2970.1,2996.0,2900.0,2922.85
2019-05-13,2929.9,2957.95,2906.0,2931.85
2019-05-14,2927.95,2941.95,2848.1,2881.85
2019-05-15,2921.0,3023.25,2870.8,3002.75
2019-05-16,3014.0,3129.0,3010.25,3110.05
2019-05-17,3137.0,3316.0,3122.05,3301.1
2019-05-20,3390.0,3444.55,3343.0,3407.55
2019-05-21,3418.05,3488.0,3375.0,3433.3
2019-05-22,3442.0,3459.55,3398.05,3448.9
2019-05-23,3495.0,3518.0,3355.65,3377.75
2019-05-24,3400.0,3475.0,3391.3,3467.9
2019-05-27,3480.0,3484.95,3440.0,3449.0
2019-05-28,3468.0,3468.15,3386.75,3409.8
2019-05-29,3403.0,3433.0,3384.5,3409.25
2019-05-30,3408.9,3489.7,3400.05,3481.65
2019-05-31,3497.45,3531.0,3448.7,3467.1
2019-06-03,3460.0,3529.9,3460.0,3511.05
2019-06-04,3514.5,3550.0,3509.55,3531.15
2019-06-06,3533.0,3533.0,3445.45,3452.95
2019-06-07,3453.15,3519.0,3419.95,3509.45
2019-06-10,3546.95,3557.75,3506.0,3519.6
2019-06-11,3537.0,3564.0,3511.25,3551.85
2019-06-12,3539.95,3539.95,3482.0,3505.85
2019-06-13,3505.0,3551.0,3500.0,3544.5
2019-06-14,3553.95,3569.8,3501.0,3518.4
2019-06-17,3529.0,3529.8,3456.0,3466.5
2019-06-18,3474.0,3530.0,3469.05,3509.3
2019-06-19,3539.0,3548.0,3500.1,3525.5
2019-06-20,3519.0,3589.0,3507.4,3582.55
2019-06-21,3597.1,3599.0,3550.0,3565.85
2019-06-24,3562.0,3579.9,3533.05,3545.35
2019-06-25,3545.35,3586.0,3530.35,3579.85
2019-06-26,3569.85,3635.0,3563.0,3627.95
2019-06-27,3635.0,3659.0,3620.1,3642.2
2019-06-28,3652.45,3693.25,3629.7,3681.1
2019-07-01,3688.7,3716.0,3685.0,3699.0
2019-07-02,3699.0,3720.0,3670.05,3711.1
2019-07-03,3714.0,3730.3,3695.0,3715.4
2019-07-04,3730.0,3749.9,3705.15,3732.5
2019-07-05,3734.0,3762.0,3706.45,3719.15
2019-07-08,3724.95,3724.95,3375.0,3413.3
2019-07-09,3410.0,3625.0,3336.4,3603.1
2019-07-10,3599.95,3599.95,3412.0,3429.05
2019-07-11,3460.0,3525.65,3366.55,3451.05
2019-07-12,3470.0,3470.0,3366.0,3377.5
2019-07-15,3398.5,3440.0,3353.6,3412.1
2019-07-16,3433.4,3464.9,3406.05,3448.7
2019-07-17,3440.0,3481.75,3440.0,3463.3
2019-07-18,3460.0,3520.0,3444.0,3467.65
2019-07-19,3476.0,3501.25,3263.1,3323.1
2019-07-22,3316.0,3316.0,3164.65,3246.6
2019-07-23,3257.0,3297.35,3208.15,3276.9
2019-07-24,3274.1,3294.0,3135.0,3173.55
2019-07-25,3198.9,3243.4,2996.2,3046.5
2019-07-26,3046.5,3278.0,2994.0,3264.6
2019-07-29,3272.75,3300.0,3180.0,3252.65
2019-07-30,3260.0,3299.0,3231.3,3249.95
2019-07-31,3233.05,3267.65,3160.1,3252.05
2019-08-01,3231.0,3261.0,3174.0,3222.1
2019-08-02,3189.0,3287.55,3120.0,3237.9
2019-08-05,3199.8,3199.8,3143.0,3160.05
2019-08-06,3160.05,3287.0,3153.15,3272.25
2019-08-07,3275.0,3325.0,3252.3,3265.8
2019-08-08,3290.0,3360.0,3261.0,3334.7
2019-08-09,3359.95,3449.6,3340.0,3419.7
2019-08-13,3419.7,3424.0,3208.05,3221.85
2019-08-14,3269.95,3329.9,3245.0,3289.95
2019-08-16,3280.6,3358.9,3253.35,3337.2
2019-08-19,3364.9,3379.0,3311.0,3328.05
2019-08-20,3327.0,3334.4,3235.25,3294.1
2019-08-21,3289.9,3321.95,3246.2,3261.45
2019-08-22,3259.0,3259.0,3098.45,3114.1
2019-08-23,3118.0,3200.0,2998.0,3174.35
2019-08-26,3274.0,3338.8,3183.05,3324.25
2019-08-27,3352.0,3398.0,3340.1,3357.75
2019-08-28,3348.8,3362.65,3296.75,3326.35
2019-08-29,3323.7,3330.0,3276.0,3299.3
2019-08-30,3310.15,3347.0,3260.0,3332.5
2019-09-03,3303.0,3315.0,3234.2,3258.5
2019-09-04,3267.0,3274.35,3208.0,3250.25
2019-09-05,3286.0,3305.0,3242.8,3292.7
